iter	Passed	Remaining
0	9	9357
1	15	7551
2	24	8207
3	30	7484
4	35	7084
5	41	6807
6	46	6615
7	52	6455
8	57	6316
9	62	6174
10	67	6112
11	73	6051
12	78	5941
13	83	5870
14	88	5778
15	93	5730
16	101	5875
17	106	5796
18	110	5708
19	114	5627
20	118	5543
21	122	5466
22	127	5406
23	131	5341
24	135	5279
25	140	5246
26	144	5213
27	149	5187
28	154	5170
29	159	5148
30	164	5145
31	169	5141
32	175	5147
33	181	5147
34	186	5152
35	191	5122
36	195	5093
37	200	5065
38	204	5043
39	210	5040
40	215	5028
41	219	5013
42	224	4992
43	228	4972
44	231	4918
45	237	4918
46	242	4913
47	247	4904
48	251	4890
49	256	4875
50	260	4856
51	266	4852
52	271	4847
53	276	4841
54	280	4819
55	285	4809
56	289	4790
57	293	4772
58	298	4762
59	302	4743
60	307	4726
61	311	4711
62	315	4695
63	320	4686
64	324	4672
65	329	4666
66	334	4659
67	339	4646
68	344	4642
69	349	4640
70	354	4636
71	361	4659
72	367	4670
73	373	4669
74	378	4673
75	385	4682
76	400	4801
77	407	4813
78	416	4855
79	421	4844
80	705	8008
81	715	8014
82	721	7969
83	726	7926
84	732	7884
85	737	7837
86	743	7805
87	749	7763
88	753	7710
89	758	7668
90	764	7631
91	770	7601
92	776	7571
93	781	7534
94	787	7501
95	792	7465
96	796	7414
97	801	7379
98	808	7358
99	815	7340
100	821	7308
101	828	7294
102	833	7258
103	838	7226
104	843	7193
105	849	7160
106	854	7127
107	860	7103
108	865	7077
109	870	7045
110	874	7002
111	879	6974
112	885	6948
113	890	6924
114	897	6904
115	902	6878
116	908	6855
117	914	6834
118	919	6806
119	924	6780
120	929	6752
121	934	6723
122	939	6700
123	945	6677
124	950	6651
125	955	6630
126	961	6606
127	966	6586
128	973	6572
129	979	6554
130	986	6540
131	991	6522
132	998	6508
133	1004	6491
134	1011	6480
135	1017	6464
136	1023	6447
137	1029	6433
138	1035	6416
139	1041	6398
140	1046	6375
141	1051	6356
142	1057	6335
143	1062	6313
144	1067	6295
145	1072	6272
146	1079	6262
147	1084	6245
148	1091	6231
149	1096	6211
150	1101	6195
151	1107	6180
152	1113	6165
153	1119	6152
154	1125	6133
155	1131	6120
156	1137	6106
157	1143	6093
158	1149	6079
159	1154	6059
160	1159	6042
161	1164	6023
162	1170	6007
163	1175	5993
164	1181	5978
165	1198	6019
166	1203	6001
167	1208	5984
168	1213	5969
169	1219	5951
170	1224	5935
171	1229	5917
172	1241	5936
173	1247	5919
174	1252	5903
175	1258	5893
176	1264	5878
177	1270	5865
178	1276	5852
179	1281	5839
180	1286	5822
181	1292	5809
182	1297	5794
183	1303	5779
184	1308	5764
185	1313	5748
186	1318	5733
187	1324	5721
188	1329	5706
189	1334	5690
190	1339	5674
191	1344	5659
192	1350	5645
193	1356	5634
194	1362	5622
195	1367	5608
196	1372	5594
197	1377	5579
198	1382	5565
199	1387	5551
200	1393	5540
201	1399	5528
202	1404	5514
203	1409	5500
204	1415	5487
205	1420	5474
206	1425	5462
207	1430	5448
208	1436	5437
209	1442	5427
210	1449	5419
211	1454	5407
212	1460	5394
213	1465	5381
214	1470	5368
215	1475	5354
216	1480	5342
217	1485	5329
218	1491	5318
219	1496	5304
220	1501	5291
221	1506	5279
222	1512	5271
223	1518	5261
224	1524	5249
225	1531	5245
226	1537	5236
227	1542	5223
228	1547	5209
229	1552	5196
230	1557	5184
231	1562	5172
232	1567	5158
233	1573	5149
234	1578	5139
235	1584	5129
236	1590	5119
237	1595	5106
238	1603	5104
239	1608	5092
240	1613	5081
241	1618	5071
242	1625	5062
243	1630	5051
244	1635	5040
245	1641	5030
246	1646	5018
247	1651	5007
248	1657	4998
249	1663	4989
250	1680	5015
251	1687	5008
252	1864	5505
253	1870	5493
254	1876	5481
255	1881	5468
256	1887	5457
257	1894	5447
