iter	Logloss	Accuracy
0	0.6768134559	0.8356164384
1	0.6626572409	0.8356164384
2	0.6531802982	0.8082191781
3	0.6415132072	0.8493150685
4	0.6314805455	0.8493150685
5	0.6193248969	0.8493150685
6	0.605808773	0.8493150685
7	0.5893034614	0.8904109589
8	0.5829788087	0.8904109589
9	0.5702867932	0.8767123288
10	0.5626820455	0.8767123288
11	0.5529040195	0.8767123288
12	0.5452460591	0.8767123288
13	0.5364151188	0.8767123288
14	0.5325518291	0.8904109589
15	0.5234196013	0.8767123288
16	0.5142655345	0.8767123288
17	0.5101254856	0.8767123288
18	0.4999169687	0.8767123288
19	0.4994875188	0.8904109589
20	0.4952554769	0.8767123288
21	0.4878405533	0.8904109589
22	0.4818084104	0.8767123288
23	0.4784583876	0.8904109589
24	0.4742591523	0.8904109589
25	0.4682346597	0.8904109589
26	0.4636819115	0.8767123288
27	0.4576629394	0.8904109589
28	0.4519102552	0.8767123288
29	0.4464666234	0.8904109589
30	0.442060962	0.904109589
31	0.4341024766	0.904109589
32	0.4303178553	0.904109589
33	0.4227610963	0.9178082192
34	0.4188487146	0.9178082192
35	0.4152081518	0.904109589
36	0.4116602954	0.904109589
37	0.4064277756	0.9178082192
38	0.4030161855	0.904109589
39	0.4005466436	0.9178082192
40	0.3981209221	0.9178082192
41	0.3929411067	0.9178082192
42	0.3893833356	0.9178082192
43	0.3846642533	0.9315068493
44	0.3825991923	0.9178082192
45	0.3809286988	0.9178082192
46	0.3775097111	0.9315068493
47	0.3742978243	0.9315068493
48	0.372584234	0.9315068493
49	0.3699014656	0.9315068493
50	0.3679063077	0.9315068493
51	0.3669058696	0.9315068493
52	0.3645447535	0.9315068493
53	0.3615693545	0.9315068493
54	0.3595678701	0.9315068493
55	0.3549944591	0.9315068493
56	0.3515497989	0.9315068493
57	0.3486856733	0.9315068493
58	0.3461409383	0.9315068493
59	0.3430637934	0.9315068493
60	0.340598735	0.9315068493
61	0.3387394224	0.9315068493
62	0.3371537123	0.9315068493
63	0.3358745804	0.9315068493
64	0.3346262323	0.9452054795
65	0.3314923541	0.9315068493
66	0.3305565784	0.9452054795
67	0.3252035425	0.9452054795
68	0.3223321706	0.9452054795
69	0.3202111655	0.9452054795
70	0.3176805271	0.9452054795
71	0.3153645776	0.9589041096
72	0.3128610345	0.9589041096
73	0.3114559402	0.9589041096
74	0.3095988913	0.9589041096
75	0.3092100925	0.9589041096
76	0.3076402741	0.9589041096
77	0.3060867863	0.9589041096
78	0.3046410117	0.9589041096
79	0.3033702422	0.9726027397
80	0.3018909574	0.9726027397
81	0.2997178357	0.9726027397
82	0.2968175518	0.9726027397
83	0.2943629728	0.9726027397
84	0.2910670371	0.9726027397
85	0.2901217376	0.9726027397
86	0.2884432686	0.9726027397
87	0.287101961	0.9863013699
88	0.2851693173	0.9863013699
89	0.2845328686	0.9863013699
90	0.2765499094	0.9863013699
91	0.2744574753	0.9863013699
92	0.273385794	0.9863013699
93	0.271475692	0.9863013699
94	0.2700005793	0.9863013699
95	0.2683840489	0.9863013699
96	0.2676603797	0.9863013699
97	0.266754164	0.9863013699
98	0.2654151905	0.9863013699
99	0.2643798295	0.9863013699
100	0.2633235412	0.9863013699
101	0.2623976978	0.9863013699
102	0.2615092715	0.9863013699
103	0.2601130865	0.9863013699
104	0.258075871	0.9863013699
105	0.2565481784	0.9863013699
106	0.2551387644	0.9863013699
107	0.2538227826	0.9863013699
108	0.2528844269	0.9863013699
109	0.2520875946	0.9863013699
110	0.2512519729	0.9863013699
111	0.2500301411	0.9863013699
112	0.2492566354	0.9863013699
113	0.2464742496	0.9863013699
114	0.2455430094	0.9863013699
115	0.2444297821	0.9863013699
116	0.2427881793	0.9863013699
117	0.2419365401	0.9863013699
118	0.2409200323	0.9863013699
119	0.2393612777	0.9863013699
120	0.2382271769	0.9863013699
121	0.2371426945	0.9863013699
122	0.2360832096	0.9863013699
123	0.2354234327	0.9863013699
124	0.2337180009	0.9863013699
125	0.2329228527	0.9863013699
126	0.231820105	0.9863013699
127	0.2298666242	0.9863013699
128	0.2253385287	0.9863013699
129	0.2229133414	0.9863013699
130	0.2204411497	0.9863013699
131	0.2197920242	0.9863013699
132	0.2188237827	1
133	0.2182009936	1
134	0.2174405916	1
135	0.2154267715	1
136	0.214731542	1
137	0.2129220677	1
138	0.2124294971	1
139	0.2100702999	1
140	0.2093982907	1
141	0.2083172942	1
142	0.2076265594	1
143	0.2061499459	1
144	0.2055301093	1
145	0.2050145514	1
146	0.2040406135	1
147	0.202474157	1
148	0.2005001526	1
149	0.1996635585	1
150	0.1989063124	1
151	0.1981237331	1
152	0.1953579616	1
153	0.1947159492	1
154	0.1939342375	1
155	0.1919261929	1
156	0.1888865359	1
