iter	Logloss	Accuracy
0	0.6915252366	0.775
1	0.6895313521	0.8375
2	0.6877192915	0.8125
3	0.6865820709	0.8125
4	0.6849897033	0.825
5	0.6827155635	0.825
6	0.6814011995	0.8375
7	0.6799207023	0.8375
8	0.677006428	0.8625
9	0.6753248167	0.8625
10	0.6730655734	0.8625
11	0.6721802315	0.8625
12	0.6706584391	0.85
13	0.6689000547	0.875
14	0.6674931402	0.875
15	0.6661600255	0.85
16	0.6650916679	0.85
17	0.6635187788	0.8375
18	0.6621178365	0.8375
19	0.6610269255	0.8125
20	0.6592424415	0.825
21	0.6576352058	0.8375
22	0.6561116206	0.8375
23	0.6550826637	0.8125
24	0.652585276	0.8125
25	0.650582625	0.8625
26	0.6496742278	0.8625
27	0.6481594631	0.8125
28	0.646408496	0.8375
29	0.6446021362	0.8375
30	0.6432385108	0.8625
31	0.641925773	0.8375
32	0.640702151	0.8375
33	0.6392875899	0.85
34	0.637804035	0.85
35	0.6362955197	0.85
36	0.6348969868	0.85
37	0.6337968044	0.85
38	0.6320823909	0.875
39	0.6304410504	0.8875
40	0.628660805	0.8875
41	0.6274868332	0.8875
42	0.6262792001	0.8875
43	0.6247170704	0.8875
44	0.6234764009	0.8875
45	0.6222384575	0.8875
46	0.6210622474	0.8875
47	0.61982458	0.875
48	0.6182044081	0.8875
49	0.6171323023	0.8875
50	0.6151648539	0.8875
51	0.6140188489	0.8875
52	0.612478302	0.8875
53	0.6108934907	0.8875
54	0.6098665508	0.8875
55	0.6086680152	0.8875
56	0.6072988245	0.8875
57	0.6058038657	0.8875
58	0.604979094	0.8875
59	0.6038093412	0.8875
60	0.6026619711	0.9
61	0.6011386554	0.9
62	0.5997825495	0.9
63	0.5987135564	0.9
64	0.5978392729	0.9
65	0.5965643708	0.9
66	0.595772701	0.9
67	0.5950067184	0.9
68	0.5940572464	0.9
69	0.5926777885	0.9
70	0.5914768483	0.9
71	0.5908103393	0.9
72	0.5896178015	0.9
73	0.589349523	0.9
74	0.5883673501	0.9
75	0.5871339409	0.9
76	0.5864842613	0.9
77	0.5856198516	0.9
78	0.5842423849	0.9
79	0.5829439872	0.9
80	0.5818392055	0.9
81	0.5809097377	0.9
82	0.5792597364	0.9
83	0.5779577664	0.9
84	0.5766739071	0.9
85	0.5758879142	0.9
86	0.5746819313	0.9
87	0.5735363233	0.9
88	0.5725663753	0.9
89	0.5716634814	0.9
90	0.5706667762	0.9
91	0.5697782498	0.9
92	0.5688338698	0.9
93	0.5677952803	0.9
94	0.5670250663	0.9
95	0.5660070065	0.9
96	0.5652446628	0.9
97	0.5641545399	0.9
98	0.5634642838	0.9
99	0.562630124	0.9
100	0.5617295546	0.9
101	0.5603753687	0.9
102	0.5590843398	0.9
103	0.5577499898	0.9
104	0.5563465395	0.9
105	0.555039778	0.9
106	0.5541836136	0.9
107	0.5531977991	0.9
108	0.5522342848	0.9
109	0.5516917356	0.9
110	0.5499142198	0.9
111	0.5489525556	0.9
112	0.5483595909	0.9
113	0.5471305872	0.9
114	0.5459869256	0.9
115	0.5451758511	0.9
116	0.5434495069	0.9
117	0.5426745979	0.9
118	0.5419098308	0.9
119	0.5412942944	0.9
120	0.5398685309	0.9
121	0.5381715456	0.9
122	0.537379131	0.9
123	0.5364078368	0.9
124	0.5358496728	0.9
125	0.535066452	0.9
126	0.5340767765	0.9
127	0.5331363209	0.9
128	0.5324560031	0.9
129	0.5318396774	0.9
130	0.5305185369	0.9
131	0.5300865532	0.9
132	0.529464149	0.9
133	0.5289276328	0.9
134	0.5282131078	0.9
135	0.5270929911	0.9
136	0.5263530549	0.9125
137	0.5256136348	0.9125
138	0.5248014549	0.9
139	0.5236626312	0.9
140	0.5224568818	0.9
141	0.5214827912	0.9
142	0.5204652893	0.9
143	0.5186516426	0.9
144	0.5175941921	0.9
145	0.516628146	0.9125
146	0.515811727	0.9125
147	0.5154035839	0.9
148	0.514465177	0.9
149	0.5139626225	0.9125
150	0.5128334301	0.9125
151	0.5121818094	0.9125
152	0.5113381824	0.9125
153	0.5107060315	0.9125
154	0.5101821518	0.9125
155	0.509231094	0.9125
156	0.5084406235	0.9125
157	0.5074749887	0.9125
158	0.5063545901	0.9125
159	0.5057271129	0.9125
160	0.505018957	0.9125
161	0.5041027206	0.9125
162	0.5033726986	0.9125
163	0.5027857663	0.9125
164	0.502257582	0.9125
165	0.5012963534	0.9125
166	0.5003162676	0.9125
167	0.4993058205	0.9125
168	0.4987327352	0.9125
169	0.497887633	0.9125
170	0.4970998491	0.9125
171	0.4957667883	0.9125
172	0.4953397228	0.9125
173	0.4948276461	0.9125
174	0.4942934998	0.9125
175	0.493902489	0.9125
176	0.4927690988	0.9125
177	0.4921619749	0.9125
178	0.4914504514	0.9125
179	0.490948418	0.9125
180	0.4902714048	0.9125
181	0.489537225	0.9125
182	0.4882578698	0.9125
183	0.4878132002	0.9125
184	0.4870445403	0.9125
185	0.4865109568	0.9125
186	0.4860523499	0.9125
187	0.4852635851	0.9125
188	0.4835006414	0.9125
189	0.4828739319	0.9125
190	0.482126496	0.9125
191	0.4810971165	0.9125
192	0.4804688856	0.9125
193	0.4797507029	0.9125
194	0.4790993224	0.9125
195	0.4786825377	0.9125
196	0.4781104007	0.9125
197	0.4768231669	0.9125
198	0.4764423105	0.9125
199	0.4758075638	0.9125
200	0.4750275552	0.9125
201	0.4734505786	0.9125
202	0.4727827871	0.9125
203	0.4722599313	0.9125
204	0.471502209	0.9125
205	0.4703859396	0.9125
