iter	Passed	Remaining
0	215	215137
1	223	111395
2	231	77018
3	240	59832
4	256	51044
5	265	43938
6	273	38861
7	281	34919
8	290	31984
9	298	29594
10	307	27649
11	318	26226
12	328	24969
13	337	23779
14	346	22750
15	355	21842
16	363	21033
17	372	20321
18	393	20311
19	402	19712
20	412	19215
21	436	19411
22	447	19028
23	456	18580
24	466	18180
25	476	17852
26	486	17531
27	501	17423
28	521	17459
29	530	17168
30	540	16887
31	550	16637
32	560	16428
33	570	16217
34	581	16036
35	592	15871
36	599	15614
37	610	15443
38	619	15267
39	629	15104
40	638	14923
41	650	14833
42	659	14685
43	669	14553
44	678	14399
45	687	14249
46	695	14099
47	704	13973
48	714	13865
49	723	13747
50	732	13634
51	740	13491
52	759	13578
53	768	13470
54	778	13379
55	786	13261
56	796	13176
57	804	13066
58	812	12966
59	821	12873
60	840	12931
61	852	12895
62	861	12809
63	869	12715
64	878	12641
65	887	12555
66	895	12474
67	901	12357
68	911	12293
69	925	12301
70	940	12310
71	947	12206
72	959	12187
73	966	12093
74	978	12069
75	990	12040
76	999	11986
77	1011	11960
78	1023	11936
79	1033	11888
80	1044	11855
81	1056	11831
82	1066	11784
83	1075	11729
84	1085	11690
85	1095	11643
86	1105	11598
87	1114	11553
88	1124	11511
89	1133	11462
90	1142	11417
91	1153	11380
92	1160	11315
93	1168	11264
94	1177	11215
95	1186	11173
96	1195	11125
97	1203	11073
98	1212	11034
99	1220	10986
100	1229	10947
101	1238	10903
102	1246	10856
103	1256	10823
104	1265	10783
105	1274	10747
106	1287	10747
107	1297	10717
108	1307	10688
109	1315	10644
110	1323	10599
111	1332	10564
112	1340	10525
113	1349	10487
114	1357	10444
115	1363	10393
116	1372	10355
117	1380	10319
118	1387	10275
119	1395	10237
120	1403	10193
121	1411	10155
122	1417	10110
123	1425	10073
124	1433	10034
125	1440	9993
126	1447	9951
127	1455	9914
128	1463	9878
129	1471	9846
130	1479	9815
131	1487	9781
132	1495	9751
133	1502	9713
134	1516	9717
135	1523	9680
136	1531	9646
137	1539	9617
138	1547	9584
139	1556	9558
140	1563	9527
141	1570	9492
142	1584	9494
143	1591	9462
144	1600	9435
145	1608	9409
146	1616	9380
147	1622	9342
148	1629	9306
149	1637	9280
150	1645	9253
151	1653	9227
152	1662	9202
153	1670	9175
154	1677	9146
155	1684	9115
156	1692	9088
157	1714	9134
158	1723	9116
159	1732	9094
160	1741	9073
161	1749	9048
162	1762	9052
163	1770	9023
164	1781	9013
165	1788	8987
166	1796	8961
167	1804	8935
168	1812	8911
169	1825	8910
170	1831	8880
171	1839	8856
172	1847	8829
173	1867	8865
174	1874	8834
175	1881	8810
176	1889	8787
177	1898	8765
178	1906	8742
179	1922	8756
180	1930	8733
181	1939	8718
182	1947	8694
183	1956	8675
184	1971	8687
185	1979	8664
186	1987	8642
187	1996	8623
188	2005	8605
189	2013	8585
190	2022	8567
191	2030	8546
192	2039	8526
193	2047	8507
194	2055	8487
195	2080	8533
196	2091	8523
197	2102	8516
198	2110	8495
199	2120	8480
200	2142	8516
201	2151	8499
202	2159	8480
203	2169	8465
204	2179	8453
205	2192	8450
206	2201	8432
207	2226	8477
208	2236	8464
209	2251	8469
210	2260	8453
211	2269	8435
212	2278	8419
213	2287	8402
214	2297	8390
215	2303	8361
216	2312	8345
217	2322	8330
218	2332	8316
219	2357	8360
220	2365	8338
221	2376	8329
222	2392	8337
223	2401	8317
224	2429	8369
225	2437	8348
226	2445	8328
227	2460	8332
228	2471	8320
229	2479	8300
230	2486	8279
231	2495	8260
232	2503	8241
233	2511	8221
234	2519	8202
235	2528	8184
236	2535	8163
237	2549	8161
238	2558	8146
239	2567	8130
240	2577	8116
241	2585	8097
242	2590	8071
243	2594	8040
244	2603	8023
245	2611	8004
246	2620	7988
247	2629	7972
248	2638	7956
249	2646	7939
250	2655	7924
251	2690	7985
252	2697	7965
253	2706	7947
254	2714	7931
255	2726	7923
256	2734	7906
257	2743	7890
258	2753	7876
259	2761	7859
260	2776	7860
261	2784	7842
262	2792	7824
263	2800	7808
264	2809	7792
265	2817	7775
266	2825	7758
267	2838	7751
268	2845	7733
269	2854	7716
270	2862	7699
271	2886	7724
272	2895	7710
273	2903	7693
274	2911	7674
275	2928	7681
276	2936	7663
277	2942	7642
278	2964	7660
279	2971	7641
280	2979	7624
281	2987	7607
282	2996	7593
283	3004	7575
284	3012	7557
285	3021	7542
286	3034	7539
287	3043	7523
288	3051	7507
289	3060	7492
290	3068	7476
291	3077	7461
292	3086	7448
293	3094	7431
294	3102	7414
295	3105	7386
296	3113	7370
297	3123	7357
298	3131	7342
299	3140	7326
300	3148	7310
301	3162	7308
302	3170	7293
303	3177	7275
304	3185	7258
305	3193	7243
306	3200	7225
307	3208	7209
308	3226	7215
309	3234	7199
310	3241	7180
311	3256	7180
312	3262	7161
313	3269	7143
314	3277	7126
315	3285	7110
316	3293	7095
317	3300	7079
318	3307	7061
319	3314	7042
320	3321	7026
321	3329	7010
322	3336	6993
323	3351	6992
324	3358	6975
325	3366	6960
326	3381	6959
327	3389	6943
328	3396	6927
329	3403	6910
330	3411	6894
331	3420	6882
332	3427	6865
333	3434	6849
334	3441	6831
335	3447	6813
336	3460	6807
337	3467	6791
338	3475	6775
339	3482	6759
340	3489	6742
341	3493	6721
342	3500	6705
343	3507	6688
344	3514	6672
345	3522	6658
346	3529	6642
347	3537	6627
348	3545	6612
349	3560	6612
350	3568	6597
351	3575	6582
352	3583	6567
353	3595	6562
354	3604	6548
355	3611	6533
356	3617	6516
357	3624	6500
358	3631	6483
359	3638	6468
360	3645	6453
361	3667	6464
362	3675	6449
363	3683	6436
364	3690	6420
365	3697	6405
366	3704	6390
367	3711	6374
368	3719	6360
369	3727	6347
370	3735	6333
371	3743	6319
372	3750	6304
373	3757	6289
374	3764	6274
375	3772	6261
376	3780	6246
377	3788	6233
378	3795	6219
379	3803	6205
380	3811	6191
381	3818	6177
382	3825	6163
383	3832	6148
384	3840	6134
385	3848	6121
386	3857	6110
387	3866	6098
388	3873	6084
389	3882	6071
390	3890	6059
391	3904	6055
392	3928	6068
393	3937	6056
394	3945	6043
395	3954	6031
396	3962	6019
397	3970	6005
398	3978	5992
399	3985	5977
400	3992	5964
401	4000	5951
402	4007	5937
403	4014	5922
404	4021	5908
405	4028	5894
406	4036	5881
407	4045	5870
408	4052	5856
409	4060	5843
410	4068	5830
411	4076	5817
412	4083	5803
413	4090	5790
414	4099	5778
415	4103	5760
416	4110	5747
417	4118	5733
418	4125	5720
419	4132	5706
420	4139	5693
421	4146	5679
422	4153	5665
423	4160	5652
424	4168	5640
425	4177	5629
426	4184	5615
427	4191	5601
428	4198	5588
429	4214	5586
430	4222	5574
431	4228	5559
432	4236	5548
433	4244	5534
434	4251	5522
435	4259	5509
436	4266	5496
437	4270	5479
438	4277	5466
439	4285	5454
440	4292	5440
441	4299	5427
442	4306	5414
443	4313	5401
444	4320	5388
445	4327	5375
446	4334	5361
447	4340	5348
448	4347	5335
449	4369	5340
450	4377	5328
451	4400	5334
452	4407	5322
453	4414	5309
454	4422	5296
455	4429	5284
456	4452	5290
457	4459	5277
458	4466	5264
459	4471	5248
460	4477	5235
461	4483	5221
462	4491	5209
